company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
005930,2017-07-04,79,10,1.9240506329113924,0.12658227848101267
005930,2017-07-05,128,28,1.9453125,0.21875
005930,2017-07-06,131,27,1.9083969465648856,0.20610687022900764
005930,2017-07-07,207,53,2.0676328502415457,0.2560386473429952
005930,2017-07-08,74,7,1.9324324324324325,0.0945945945945946
033100,2017-07-02,20,3,1.95,0.15
033100,2017-07-03,39,13,2.051282051282051,0.3333333333333333
033100,2017-07-04,57,13,2.1403508771929824,0.22807017543859648
033100,2017-07-05,34,4,1.6764705882352942,0.11764705882352941
033100,2017-07-06,45,8,1.9111111111111112,0.17777777777777778
033100,2017-07-07,70,13,1.6714285714285715,0.18571428571428572
033100,2017-07-08,5,0,1.6,0.0
080220,2017-07-03,1,0,2.0,0.0
080220,2017-07-04,4,0,2.0,0.0
080220,2017-07-05,3,0,1.3333333333333333,0.0
080220,2017-07-06,1,0,1.0,0.0
080220,2017-07-07,3,1,2.6666666666666665,0.3333333333333333
080220,2017-07-08,1,0,2.0,0.0
105560,2017-07-03,2,0,1.0,0.0
105560,2017-07-04,5,0,2.0,0.0
105560,2017-07-05,4,0,1.75,0.0
105560,2017-07-06,10,7,2.9,0.7
105560,2017-07-07,14,5,2.0714285714285716,0.35714285714285715
190510,2017-07-03,6,0,1.1666666666666667,0.0
190510,2017-07-04,4,0,1.5,0.0
190510,2017-07-05,1,0,0.0,0.0
190510,2017-07-06,2,2,3.0,1.0
190510,2017-07-08,1,0,2.0,0.0
000660,2017-07-09,119,22,1.8739495798319328,0.18487394957983194
000660,2017-07-10,265,66,1.9245283018867925,0.2490566037735849
000660,2017-07-11,303,73,1.9306930693069306,0.24092409240924093
000660,2017-07-12,192,55,2.0364583333333335,0.2864583333333333
000660,2017-07-13,525,183,2.1142857142857143,0.3485714285714286
000660,2017-07-14,240,71,1.9625,0.29583333333333334
000660,2017-07-15,107,13,1.719626168224299,0.12149532710280374
005380,2017-07-09,37,3,1.6756756756756757,0.08108108108108109
005380,2017-07-10,91,14,1.6373626373626373,0.15384615384615385
