company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
005380,2017-07-12,43,11,1.3488372093023255,0.2558139534883721
005380,2017-07-13,99,12,1.2424242424242424,0.12121212121212122
005380,2017-07-14,60,9,1.2833333333333334,0.15
005380,2017-07-15,31,5,1.6129032258064515,0.16129032258064516
005930,2017-07-09,59,3,1.5932203389830508,0.05084745762711865
005930,2017-07-10,136,46,2.051470588235294,0.3382352941176471
005930,2017-07-11,120,28,1.7416666666666667,0.23333333333333334
005930,2017-07-12,282,69,1.6312056737588652,0.24468085106382978
005930,2017-07-13,243,58,1.7407407407407407,0.23868312757201646
005930,2017-07-14,216,42,1.5740740740740742,0.19444444444444445
005930,2017-07-15,107,17,1.644859813084112,0.1588785046728972
033100,2017-07-09,3,0,2.0,0.0
033100,2017-07-10,24,5,1.3333333333333333,0.20833333333333334
033100,2017-07-11,17,5,1.7058823529411764,0.29411764705882354
033100,2017-07-12,9,2,1.7777777777777777,0.2222222222222222
033100,2017-07-13,6,3,3.0,0.5
033100,2017-07-14,1,0,2.0,0.0
033100,2017-07-15,4,0,1.5,0.0
080220,2017-07-11,2,1,2.0,0.5
080220,2017-07-12,4,0,1.0,0.0
080220,2017-07-13,2,0,0.0,0.0
080220,2017-07-14,4,3,2.25,0.75
105560,2017-07-09,3,0,1.3333333333333333,0.0
105560,2017-07-10,3,2,2.6666666666666665,0.6666666666666666
105560,2017-07-11,9,1,1.8888888888888888,0.1111111111111111
105560,2017-07-12,4,0,2.0,0.0
105560,2017-07-13,4,1,1.5,0.25
105560,2017-07-14,9,4,2.4444444444444446,0.4444444444444444
105560,2017-07-15,1,0,2.0,0.0
190510,2017-07-10,6,1,1.1666666666666667,0.16666666666666666
190510,2017-07-11,2,0,0.5,0.0
190510,2017-07-12,3,2,3.0,0.6666666666666666
190510,2017-07-13,9,2,1.3333333333333333,0.2222222222222222
190510,2017-07-14,27,2,1.2592592592592593,0.07407407407407407
190510,2017-07-15,1,0,2.0,0.0
000660,2017-07-16,172,30,1.6627906976744187,0.1744186046511628
000660,2017-07-17,235,62,1.8127659574468085,0.26382978723404255
000660,2017-07-18,237,51,1.6329113924050633,0.21518987341772153
000660,2017-07-19,235,59,1.8425531914893618,0.251063829787234
000660,2017-07-20,149,33,1.7986577181208054,0.2214765100671141
000660,2017-07-21,164,34,1.725609756097561,0.2073170731707317
000660,2017-07-22,85,19,1.5294117647058822,0.2235294117647059
005380,2017-07-16,14,1,1.5,0.07142857142857142
005380,2017-07-17,68,11,1.338235294117647,0.16176470588235295
005380,2017-07-18,101,9,1.108910891089109,0.0891089108910891
005380,2017-07-19,66,9,1.2121212121212122,0.13636363636363635
005380,2017-07-20,99,16,1.303030303030303,0.16161616161616163
005380,2017-07-21,52,5,0.9807692307692307,0.09615384615384616
005380,2017-07-22,6,1,1.8333333333333333,0.16666666666666666
005930,2017-07-16,101,8,1.5544554455445545,0.07920792079207921
005930,2017-07-17,126,19,1.8015873015873016,0.15079365079365079
005930,2017-07-18,113,21,1.6283185840707965,0.18584070796460178
005930,2017-07-19,159,29,1.610062893081761,0.18238993710691823
005930,2017-07-20,141,34,1.7659574468085106,0.24113475177304963
005930,2017-07-21,111,28,1.6756756756756757,0.25225225225225223
005930,2017-07-22,28,2,1.3928571428571428,0.07142857142857142
033100,2017-07-16,8,0,1.75,0.0
033100,2017-07-17,74,21,1.8513513513513513,0.28378378378378377
033100,2017-07-18,22,2,1.5909090909090908,0.09090909090909091
033100,2017-07-19,25,1,1.68,0.04
033100,2017-07-20,41,6,1.8048780487804879,0.14634146341463414
033100,2017-07-21,29,3,1.6551724137931034,0.10344827586206896
033100,2017-07-22,6,1,1.0,0.16666666666666666
080220,2017-07-17,5,2,2.2,0.4
080220,2017-07-18,1,0,2.0,0.0
080220,2017-07-20,4,2,2.5,0.5
080220,2017-07-21,2,0,2.0,0.0
105560,2017-07-16,1,0,0.0,0.0
105560,2017-07-17,5,2,1.6,0.4
105560,2017-07-18,5,3,2.6,0.6
105560,2017-07-19,22,9,2.090909090909091,0.4090909090909091
105560,2017-07-20,24,5,1.9583333333333333,0.20833333333333334
105560,2017-07-21,21,8,2.2857142857142856,0.38095238095238093
105560,2017-07-22,9,1,1.4444444444444444,0.1111111111111111
190510,2017-07-16,1,0,2.0,0.0
190510,2017-07-17,3,0,1.3333333333333333,0.0
190510,2017-07-18,8,3,2.0,0.375
190510,2017-07-19,1,1,3.0,1.0
190510,2017-07-21,3,1,1.6666666666666667,0.3333333333333333
190510,2017-07-22,3,0,1.3333333333333333,0.0
000660,2017-07-23,73,13,1.3835616438356164,0.1780821917808219
000660,2017-07-24,352,93,1.8522727272727273,0.26420454545454547
000660,2017-07-25,600,151,1.7583333333333333,0.25166666666666665
000660,2017-07-26,1012,270,1.7648221343873518,0.26679841897233203
000660,2017-07-27,421,125,1.8954869358669835,0.29691211401425177
000660,2017-07-28,752,146,1.547872340425532,0.19414893617021275
000660,2017-07-29,154,34,1.6753246753246753,0.22077922077922077
005380,2017-07-23,12,0,0.3333333333333333,0.0
005380,2017-07-24,72,15,1.625,0.20833333333333334
005380,2017-07-25,84,11,1.2738095238095237,0.13095238095238096
005380,2017-07-26,90,7,1.211111111111111,0.07777777777777778
005380,2017-07-27,91,11,1.3736263736263736,0.12087912087912088
005380,2017-07-28,85,37,2.4352941176470586,0.43529411764705883
005380,2017-07-29,12,3,1.8333333333333333,0.25
005930,2017-07-23,39,8,1.794871794871795,0.20512820512820512
005930,2017-07-24,82,14,1.5121951219512195,0.17073170731707318
005930,2017-07-25,150,29,1.5133333333333334,0.19333333333333333
005930,2017-07-26,182,49,1.6868131868131868,0.2692307692307692
005930,2017-07-27,171,41,1.847953216374269,0.23976608187134502
005930,2017-07-28,572,137,1.631118881118881,0.2395104895104895
005930,2017-07-29,97,20,1.443298969072165,0.20618556701030927
