date,close,net_profit
13/08/2015,36400,4.07115E+11
17/08/2015,36400,4.07115E+11
18/08/2015,37100,4.07115E+11
19/08/2015,37200,4.07115E+11
20/08/2015,36600,4.07115E+11
21/08/2015,36200,4.07115E+11
24/08/2015,34900,4.07115E+11
25/08/2015,34850,4.07115E+11
26/08/2015,34700,4.07115E+11
27/08/2015,34700,4.07115E+11
28/08/2015,36050,4.07115E+11
31/08/2015,35800,4.07115E+11
01/09/2015,35300,4.07115E+11
02/09/2015,35500,4.07115E+11
03/09/2015,34750,4.07115E+11
04/09/2015,34650,4.07115E+11
07/09/2015,34200,4.07115E+11
08/09/2015,34150,4.07115E+11
09/09/2015,34950,4.07115E+11
10/09/2015,35650,4.07115E+11
11/09/2015,34900,4.07115E+11
14/09/2015,34950,4.07115E+11
15/09/2015,34850,4.07115E+11
16/09/2015,35400,4.07115E+11
17/09/2015,35500,4.07115E+11
18/09/2015,34800,4.07115E+11
21/09/2015,35000,4.07115E+11
22/09/2015,35350,4.07115E+11
23/09/2015,34750,4.07115E+11
24/09/2015,34900,4.07115E+11
25/09/2015,34650,4.07115E+11
30/09/2015,35250,4.07115E+11
01/10/2015,35300,3.46604E+11
02/10/2015,34650,3.46604E+11
05/10/2015,34650,3.46604E+11
06/10/2015,34650,3.46604E+11
07/10/2015,34250,3.46604E+11
08/10/2015,34800,3.46604E+11
12/10/2015,35300,3.46604E+11
13/10/2015,35500,3.46604E+11
14/10/2015,34800,3.46604E+11
15/10/2015,35000,3.46604E+11
16/10/2015,35150,3.46604E+11
19/10/2015,35450,3.46604E+11
20/10/2015,36350,3.46604E+11
21/10/2015,36700,3.46604E+11
22/10/2015,36750,3.46604E+11
23/10/2015,36850,3.46604E+11
26/10/2015,36800,3.46604E+11
27/10/2015,36750,3.46604E+11
28/10/2015,36150,3.46604E+11
29/10/2015,35650,3.46604E+11
30/10/2015,36150,3.46604E+11
02/11/2015,36000,3.46604E+11
03/11/2015,36700,3.46604E+11
04/11/2015,36550,3.46604E+11
05/11/2015,36750,3.46604E+11
06/11/2015,36400,3.46604E+11
09/11/2015,36950,3.46604E+11
10/11/2015,36050,3.46604E+11
11/11/2015,35900,3.46604E+11
12/11/2015,36350,3.46604E+11
13/11/2015,35200,3.46604E+11
16/11/2015,34600,3.46604E+11
17/11/2015,34650,3.46604E+11
18/11/2015,35350,3.46604E+11
19/11/2015,35700,3.46604E+11
20/11/2015,35250,3.46604E+11
23/11/2015,35350,3.46604E+11
24/11/2015,35600,3.46604E+11
25/11/2015,35250,3.46604E+11
26/11/2015,35750,3.46604E+11
27/11/2015,35850,3.46604E+11
30/11/2015,35250,3.46604E+11
01/12/2015,35600,3.46604E+11
02/12/2015,35100,3.46604E+11
03/12/2015,34850,3.46604E+11
